Series Name;Series Code;Country Name;Country Code;2016 [YR2016]
GDP per capita (current US$);NY.GDP.PCAP.CD;Peru;PER;6163.86042474328
GDP per capita (current US$);NY.GDP.PCAP.CD;Philippines;PHL;3038.15203684461
GDP per capita (current US$);NY.GDP.PCAP.CD;Poland;POL;12378.8117641782
GDP per capita (current US$);NY.GDP.PCAP.CD;Portugal;PRT;19991.9724878805
GDP per capita (current US$);NY.GDP.PCAP.CD;Puerto Rico;PRI;30627.1634017011
GDP per capita (current US$);NY.GDP.PCAP.CD;Qatar;QAT;58467.2355711087
GDP per capita (current US$);NY.GDP.PCAP.CD;Romania;ROU;9404.38125929526
GDP per capita (current US$);NY.GDP.PCAP.CD;Russian Federation;RUS;8704.89453125
GDP per capita (current US$);NY.GDP.PCAP.CD;Rwanda;RWA;728.869618913457
GDP per capita (current US$);NY.GDP.PCAP.CD;Samoa;WSM;4105.8109051951
GDP per capita (current US$);NY.GDP.PCAP.CD;San Marino;SMR;43398.4285257227
GDP per capita (current US$);NY.GDP.PCAP.CD;Sao Tome and Principe;STP;1428.25790783907
GDP per capita (current US$);NY.GDP.PCAP.CD;Saudi Arabia;SAU;19930.407543816
GDP per capita (current US$);NY.GDP.PCAP.CD;Senegal;SEN;1290.74997126951
GDP per capita (current US$);NY.GDP.PCAP.CD;Serbia;SRB;5765.20335248009
GDP per capita (current US$);NY.GDP.PCAP.CD;Seychelles;SYC;15409.8046337211
GDP per capita (current US$);NY.GDP.PCAP.CD;Sierra Leone;SLE;515.447839602837
GDP per capita (current US$);NY.GDP.PCAP.CD;Singapore;SGP;56895.6583127851
GDP per capita (current US$);NY.GDP.PCAP.CD;Sint Maarten (Dutch part);SXM;35703.0999494536
GDP per capita (current US$);NY.GDP.PCAP.CD;Slovak Republic;SVK;16563.4404971229
GDP per capita (current US$);NY.GDP.PCAP.CD;Slovenia;SVN;21678.3594670629
GDP per capita (current US$);NY.GDP.PCAP.CD;Solomon Islands;SLB;2196.28389055503
GDP per capita (current US$);NY.GDP.PCAP.CD;Somalia;SOM;517.09758150565
GDP per capita (current US$);NY.GDP.PCAP.CD;South Africa;ZAF;5735.06678717842
GDP per capita (current US$);NY.GDP.PCAP.CD;South Sudan;SSD;0
GDP per capita (current US$);NY.GDP.PCAP.CD;Spain;ESP;26537.1594894542
GDP per capita (current US$);NY.GDP.PCAP.CD;Sri Lanka;LKA;4107.82977539914
GDP per capita (current US$);NY.GDP.PCAP.CD;St. Kitts and Nevis;KNA;21079.520970707
GDP per capita (current US$);NY.GDP.PCAP.CD;St. Lucia;LCA;10574.3865772889
GDP per capita (current US$);NY.GDP.PCAP.CD;St. Martin (French part);MAF;0
GDP per capita (current US$);NY.GDP.PCAP.CD;St. Vincent and the Grenadines;VCT;7684.79283998852
GDP per capita (current US$);NY.GDP.PCAP.CD;Sudan;SDN;2614.29443359375
GDP per capita (current US$);NY.GDP.PCAP.CD;Suriname;SUR;5705.39948731743
GDP per capita (current US$);NY.GDP.PCAP.CD;Eswatini;SWZ;3339.99040122187
GDP per capita (current US$);NY.GDP.PCAP.CD;Sweden;SWE;51965.1571531985
GDP per capita (current US$);NY.GDP.PCAP.CD;Switzerland;CHE;82153.0745447889
GDP per capita (current US$);NY.GDP.PCAP.CD;Syrian Arab Republic;SYR;664.341672388301
GDP per capita (current US$);NY.GDP.PCAP.CD;Tajikistan;TJK;801.39383995978
GDP per capita (current US$);NY.GDP.PCAP.CD;Tanzania;TZA;942.889038085938
GDP per capita (current US$);NY.GDP.PCAP.CD;Thailand;THA;5854.4639077194
GDP per capita (current US$);NY.GDP.PCAP.CD;Timor-Leste;TLS;1349.54677672507
GDP per capita (current US$);NY.GDP.PCAP.CD;Togo;TGO;792.440550873266
GDP per capita (current US$);NY.GDP.PCAP.CD;Tonga;TON;3978.43768561484
GDP per capita (current US$);NY.GDP.PCAP.CD;Trinidad and Tobago;TTO;16139.105257595
GDP per capita (current US$);NY.GDP.PCAP.CD;Tunisia;TUN;3796.1095999439
GDP per capita (current US$);NY.GDP.PCAP.CD;Turkiye;TUR;10970.0458948862
GDP per capita (current US$);NY.GDP.PCAP.CD;Turkmenistan;TKM;6163.25340597611
GDP per capita (current US$);NY.GDP.PCAP.CD;Turks and Caicos Islands;TCA;26995.0321602259
GDP per capita (current US$);NY.GDP.PCAP.CD;Tuvalu;TUV;3836.07300251003
GDP per capita (current US$);NY.GDP.PCAP.CD;Uganda;UGA;753.684405508036
GDP per capita (current US$);NY.GDP.PCAP.CD;Ukraine;UKR;2187.7275390625
GDP per capita (current US$);NY.GDP.PCAP.CD;United Arab Emirates;ARE;41054.5395699204
GDP per capita (current US$);NY.GDP.PCAP.CD;United Kingdom;GBR;40985.2351382417
GDP per capita (current US$);NY.GDP.PCAP.CD;United States;USA;57866.7449341091
GDP per capita (current US$);NY.GDP.PCAP.CD;Uruguay;URY;16837.9403803049
GDP per capita (current US$);NY.GDP.PCAP.CD;Uzbekistan;UZB;2704.67718852896
GDP per capita (current US$);NY.GDP.PCAP.CD;Vanuatu;VUT;2757.20330593386
GDP per capita (current US$);NY.GDP.PCAP.CD;Venezuela;VEN;0
GDP per capita (current US$);NY.GDP.PCAP.CD;Viet Nam;VNM;2760.71710111715
GDP per capita (current US$);NY.GDP.PCAP.CD;Virgin Islands (U.S.);VIR;35324.9748874586
GDP per capita (current US$);NY.GDP.PCAP.CD;West Bank and Gaza;PSE;3527.61382413178
GDP per capita (current US$);NY.GDP.PCAP.CD;Yemen;YEM;1069.81699688479
GDP per capita (current US$);NY.GDP.PCAP.CD;Zambia;ZMB;1249.92314348406
GDP per capita (current US$);NY.GDP.PCAP.CD;Zimbabwe;ZWE;1421.78779140568

